"PO Report FY2013",,,,,
"Please note that this report contains individual line items for each purchase order.",,,,,
,,,,,
"PO Number","Agency","Commodity","Vendor Name","Ordered DAte","PO amount"
"PO160667-V10","DEPARTMENT OF GENERAL SERVICES","9090000:BUILDING CONSTRUCTION SERVICES, NEW","SPECIALTY CONSTRUCTION MANAGE",1-May-13,"36,500.00"
"PO160667-V10","DEPARTMENT OF GENERAL SERVICES","9145000:Heating, Ventilating and Air Conditioning (HVAC)","SPECIALTY CONSTRUCTION MANAGE",1-May-13,"43,226.25"
"PO211466-V2","DEPARTMENT OF TRANSPORTATION","9409000:Tram Construction and Maintenance Services","MCCAIN INC.",21-Mar-13,"53,835.50"
"PO240430-V4","DEPARTMENT ON DISABILITY SERVICES","9187850:CONSULTING SERVICES, MEDICAL","PATRICIA R. COTT",16-Sep-13,"6,344.63"
"PO250372-V3","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","EDAW",27-Sep-13,"551,683.84"
"PO252336-V5","DC PUBLIC LIBRARY","9124000:Demolition Services","SMOOT CORPORATION OF WDC",14-Aug-13,"10,056.00"
"PO252336-V5","DC PUBLIC LIBRARY","9587700:Project Management Services","SMOOT CORPORATION OF WDC",14-Aug-13,"337,954.00"
"PO253676-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9180000:CONSULTING SERVICES","JONES LANG LASALLE",27-Sep-13,"62,809.00"
"PO256208-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9180000:CONSULTING SERVICES","LOUIS BERGER & ASSOCIATES",27-Sep-13,"68,497.41"
"PO263431-V6","DC PUBLIC LIBRARY","9090000:BUILDING CONSTRUCTION SERVICES, NEW","FORRESTER CONSTRUCTION CO.",8-Nov-12,"146,817.00"
"PO263431-V6","DC PUBLIC LIBRARY","9092400:Building Construction, Commercial and Institutional","FORRESTER CONSTRUCTION CO.",8-Nov-12,"296,555.13"
"PO263431-V6","DC PUBLIC LIBRARY","9140000:CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)","FORRESTER CONSTRUCTION CO.",8-Nov-12,"9,578,411.88"
"PO263431-V6","DC PUBLIC LIBRARY","9130000:CONSTRUCTION SERVICES, HEAVY","FORRESTER CONSTRUCTION CO.",8-Nov-12,"48,098.39"
"PO263431-V6","DC PUBLIC LIBRARY","9092200:Building Construction, Non-Residential (Office Bldg., etc.)","FORRESTER CONSTRUCTION CO.",8-Nov-12,"770,958.37"
"PO264038-V8","DEPARTMENT OF GENERAL SERVICES","9060000:ARCHITECTURAL SERVICES, PROFESSIONAL","DANIEL, MANN, JOHNSON & MENDEN",11-Mar-13,"591,222.81"
"PO264038-V8","DEPARTMENT OF GENERAL SERVICES","9181500:Architectural Consulting","DANIEL, MANN, JOHNSON & MENDEN",11-Mar-13,"907,758.17"
"PO264523-V2","DEPARTMENT OF TRANSPORTATION","9180000:CONSULTING SERVICES","ARTBA-TDF",26-Mar-13,"46,079.25"
"PO266406-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9614900:Legal Services, Attorneys","LEFTWICH & LUDAWAY",27-Sep-13,"113,075.86"
"PO277891-V4","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9613200:Environmental Impact Studies","MACTEC ENGINEERING & CONSULTIN",25-Sep-13,"128,424.35"
"PO284925-V3","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9120000:CONSTRUCTION SERVICES, GENERAL","FORT MYER CONSTRUCTION CORPORA",27-Sep-13,"7,355,751.11"
"PO291866-V7","DEPARTMENT OF GENERAL SERVICES","9060000:ARCHITECTURAL SERVICES, PROFESSIONAL","ARCHITRAVE P.C., ARCHITECTS",25-Mar-13,"501,264.11"
"PO293183-V7","DC PUBLIC LIBRARY","9582600:Construction Management Services","DAVIS BRODY BOND, LLP",11-Mar-13,"386,665.51"
"PO293183-V7","DC PUBLIC LIBRARY","9061000:Buildings - Architectural Design","DAVIS BRODY BOND, LLP",11-Mar-13,"7,500.00"
"PO293183-V7","DC PUBLIC LIBRARY","9060000:ARCHITECTURAL SERVICES, PROFESSIONAL","DAVIS BRODY BOND, LLP",11-Mar-13,"27,040.00"
"PO293183-V7","DC PUBLIC LIBRARY","9587700:Project Management Services","DAVIS BRODY BOND, LLP",11-Mar-13,"9,897.00"
"PO296787-V3","DC PUBLIC LIBRARY","9063800:General Construction - Architectural","Monar Construction",14-Aug-13,"45,901.90"
"PO296787-V3","DC PUBLIC LIBRARY","9120000:CONSTRUCTION SERVICES, GENERAL","Monar Construction",14-Aug-13,"1,055,970.03"
"PO298397-V5","DC PUBLIC LIBRARY","9183100:Construction Consulting","LYNCH DEVELOPMENT PARTNERS LLC",28-Aug-13,"3,793.42"
"PO298397-V5","DC PUBLIC LIBRARY","9587700:Project Management Services","LYNCH DEVELOPMENT PARTNERS LLC",28-Aug-13,"561,149.64"
"PO298397-V5","DC PUBLIC LIBRARY","9582600:Construction Management Services","LYNCH DEVELOPMENT PARTNERS LLC",28-Aug-13,"66,427.00"
"PO310291-V3","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","FORT MYER CONSTRUCTION CORPORA",29-May-13,"21,744,779.19"
"PO313955-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9258800:Structural Engineering","Moffatt & Nichol",27-Sep-13,"113,851.68"
"PO314442-V6","DC PUBLIC LIBRARY","8018100:Signs, Library","CREATIVE SIGNS & GRAPHICS DBA",2-Nov-12,"41,876.54"
"PO314442-V6","DC PUBLIC LIBRARY","5576200:Signage, Advertising Type (Interior and Exterior)","CREATIVE SIGNS & GRAPHICS DBA",2-Nov-12,"4,147.10"
"PO315124-V2","DEPARTMENT OF HEALTH","9625800:Professional Services (Not Otherwise Classified)","PROVIDENCE HEALTH FOUNDATION",9-Sep-13,"271,125.25"
"PO316148-V3","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","FMC CIVIL CONSTRUCTION, LLC",28-Feb-13,"8,349,438.97"
"PO316917-V2","DISTRICT DEPARTMENT OF THE ENVIRONMENT","9264200:Environmental Services (Not Otherwise Classified)","U.S. DEPARTMENT OF AGRICULTURE",29-Apr-13,"407,359.20"
"PO316929-V4","DISTRICT DEPARTMENT OF THE ENVIRONMENT","9264200:Environmental Services (Not Otherwise Classified)","ANACOSTIA WATERSHED SOCIETY",24-Jun-13,"613,022.61"
"PO318650-V3","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","Dix Street Corridor Revitaliza",27-Sep-13,"371,344.88"
"PO318938-V4","DC PUBLIC LIBRARY","9062500:Design Build Services","WILLIAMS SCOTSMAN, INC",19-Sep-13,"515,200.25"
"PO318938-V4","DC PUBLIC LIBRARY","9097600:Site Work (Incl. Site Clean-Up)","WILLIAMS SCOTSMAN, INC",19-Sep-13,"21,571.00"
"PO318938-V4","DC PUBLIC LIBRARY","9618500:Utility Services, Electric, Gas, Water","WILLIAMS SCOTSMAN, INC",19-Sep-13,0
"PO318938-V4","DC PUBLIC LIBRARY","9203700:Networking Services (Including Installation, Security, and Maintenance )","WILLIAMS SCOTSMAN, INC",19-Sep-13,"11,552.25"
"PO318938-V4","DC PUBLIC LIBRARY","9621800:Cable Construction, Installation and Maintenance (Fiber Optic, Communication, Computer, etc.)","WILLIAMS SCOTSMAN, INC",19-Sep-13,"1,830.00"
"PO318938-V4","DC PUBLIC LIBRARY","8010000:SIGNS, SIGN MATERIALS, SIGN MAKING EQUIPMENT, AND RELATED SUPPLIES","WILLIAMS SCOTSMAN, INC",19-Sep-13,"5,437.00"
"PO318938-V4","DC PUBLIC LIBRARY","9120000:CONSTRUCTION SERVICES, GENERAL","WILLIAMS SCOTSMAN, INC",19-Sep-13,"1,965.00"
"PO319065-V8","DEPARTMENT OF GENERAL SERVICES","9062500:Design Build Services","TOMPKINS/HARDIE JOINT VENTURE",17-Jul-13,"2,940,237.04"
"PO319597-V2","DEPARTMENT OF TRANSPORTATION","9064640:DESIGN SERVICES, HIGHWAY TRAFFIC","THE LPA GROUP INC.",21-May-13,"5,025,952.00"
"PO319621-V5","OFFICE OF CHIEF TECHNOLOGY OFFICER","9189500:Telecommunications Consulting","SAIC, Inc.",21-May-13,"5,030,620.00"
"PO319621-V5","OFFICE OF CHIEF TECHNOLOGY OFFICER","9157900:Telecommunication Services (Not Otherwise Classified)","SAIC, Inc.",21-May-13,"2,662,215.78"
"PO319711-V2","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9187400:Legal Consulting","BAKER & DANIELS LLP",27-Sep-13,"13,096.72"
"PO320213","DEPARTMENT OF PUBLIC WORKS","9152435:CABLE INSTALLATION FEES, TELEVISION","COMCAST CABLE COMMUNICATIONS",9-Oct-12,"2,900.60"
"PO321978-V3","DISTRICT DEPARTMENT OF THE ENVIRONMENT","9264200:Environmental Services (Not Otherwise Classified)","BIOHABITATS, INC.",21-Jun-13,"267,269.06"
